Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Genarp PST;22128142;Övriga stationer;1.407

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 timme, 1 gång/tim;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2023-09-01 00:00:00;2024-11-29 00:20:16;32.308;55.6078;13.3960

Datum;Tid (UTC);Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2024-07-22;08:00:00;0.4;Y;;Data från senaste fyra månaderna
2024-07-22;09:00:00;4.6;Y;;Tidsperiod (fr.o.m.) = 2024-07-22 00:00:01 (UTC)
2024-07-22;10:00:00;4.2;Y;;Tidsperiod (t.o.m.) = 2024-11-29 00:00:00 (UTC)
2024-07-22;11:00:00;0.6;Y;;Samplingstid = 1 timme
2024-07-22;12:00:00;0.2;Y;;Kvalitetskoderna:
2024-07-26;13:00:00;2.0;Y;;Grön (G) = Kontrollerade och godkända värden.
2024-07-26;14:00:00;0.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2024-07-26;15:00:00;0.2;Y;;Nätinformation:
2024-07-26;19:00:00;0.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2024-08-04;03:00:00;3.8;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2024-08-04;06:00:00;6.4;Y;;Möjliga orsaker till saknade data:
2024-08-04;07:00:00;0.4;Y;;– stationen eller givaren har varit ur funktion.
2024-08-04;08:00:00;0.8;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2024-08-04;09:00:00;5.6;Y
2024-08-04;10:00:00;8.6;Y
2024-08-04;11:00:00;0.4;Y
2024-08-04;12:00:00;3.2;Y
2024-08-04;20:00:00;0.2;Y
2024-08-04;21:00:00;0.2;Y
2024-08-07;23:00:00;1.0;Y
2024-08-08;00:00:00;0.2;Y
2024-08-08;03:00:00;0.2;Y
2024-08-09;09:00:00;2.8;Y
2024-08-09;10:00:00;3.8;Y
2024-08-09;11:00:00;5.8;Y
2024-08-09;12:00:00;1.4;Y
2024-08-10;13:00:00;0.6;Y
2024-08-10;14:00:00;0.2;Y
2024-08-15;02:00:00;1.6;Y
2024-08-16;09:00:00;1.0;Y
