Enhetsnamn,Rn-sniffer
Enhets-SN,HA02EQ000142
Radonenhet,Bq/m3
Antal data,2260
Varaktighet,01/09/2024 ~ 30/11/2024
Mättid,Radonavläsning per timme
01/09/2024 14:18,21
01/09/2024 15:18,14
01/09/2024 16:18,17
01/09/2024 17:18,24
01/09/2024 18:18,16
01/09/2024 19:18,10
01/09/2024 20:18,10
01/09/2024 21:18,10
01/09/2024 22:18,12
01/09/2024 23:18,35
02/09/2024 00:18,33
02/09/2024 01:18,26
02/09/2024 02:18,16
02/09/2024 03:18,26
02/09/2024 04:18,16
02/09/2024 05:18,21
02/09/2024 06:18,23
02/09/2024 07:18,17
02/09/2024 08:18,19
02/09/2024 09:18,17
02/09/2024 10:18,33
02/09/2024 11:18,38
02/09/2024 12:18,21
02/09/2024 13:18,28
02/09/2024 14:18,17
02/09/2024 15:18,17
02/09/2024 16:18,19
02/09/2024 17:18,33
02/09/2024 18:18,28
02/09/2024 19:18,16
02/09/2024 20:18,17
02/09/2024 21:18,12
02/09/2024 22:18,14
02/09/2024 23:18,26
03/09/2024 00:18,23
03/09/2024 01:18,19
03/09/2024 02:18,17
03/09/2024 03:18,10
03/09/2024 04:18,9
03/09/2024 05:18,9
03/09/2024 06:18,16
03/09/2024 07:18,7
03/09/2024 08:18,14
03/09/2024 09:18,10
03/09/2024 10:18,26
03/09/2024 11:18,24
03/09/2024 12:18,23
03/09/2024 13:18,12
03/09/2024 14:18,17
03/09/2024 15:18,26
03/09/2024 16:18,31
03/09/2024 17:18,26
03/09/2024 18:18,38
03/09/2024 19:18,16
03/09/2024 20:51,21
03/09/2024 21:51,12
03/09/2024 22:51,17
03/09/2024 23:51,9
04/09/2024 00:51,9
04/09/2024 01:51,14
04/09/2024 02:51,10
04/09/2024 03:51,7
04/09/2024 04:51,12
04/09/2024 05:51,9
04/09/2024 06:51,26
04/09/2024 07:51,16
04/09/2024 08:51,14
04/09/2024 09:51,35
04/09/2024 10:51,17
04/09/2024 11:51,14
04/09/2024 12:51,19
04/09/2024 13:51,16
04/09/2024 14:51,30
04/09/2024 15:51,9
04/09/2024 16:51,10
04/09/2024 17:51,21
04/09/2024 18:51,9
04/09/2024 19:51,16
04/09/2024 20:51,12
04/09/2024 21:51,12
04/09/2024 22:51,14
04/09/2024 23:51,16
05/09/2024 00:51,14
05/09/2024 01:51,7
05/09/2024 02:51,10
05/09/2024 03:51,12
05/09/2024 04:51,10
05/09/2024 05:51,10
05/09/2024 06:51,24
05/09/2024 07:51,10
05/09/2024 08:51,16
05/09/2024 09:51,10
05/09/2024 10:51,12
05/09/2024 11:51,17
05/09/2024 12:51,19
05/09/2024 13:51,17
05/09/2024 14:51,23
05/09/2024 15:51,17
05/09/2024 16:51,17
05/09/2024 17:51,12
05/09/2024 18:51,7
05/09/2024 19:51,7
05/09/2024 20:51,9
05/09/2024 21:51,9
05/09/2024 22:51,10
05/09/2024 23:51,10
06/09/2024 00:51,10
06/09/2024 01:51,7
06/09/2024 02:51,7
06/09/2024 03:51,14
06/09/2024 04:51,17
06/09/2024 05:51,17
06/09/2024 06:51,10
06/09/2024 07:51,23
06/09/2024 08:51,9
06/09/2024 09:51,17
06/09/2024 10:51,17
06/09/2024 11:51,19
06/09/2024 12:51,26
06/09/2024 13:51,24
06/09/2024 14:51,16
06/09/2024 15:51,17
06/09/2024 16:51,16
06/09/2024 17:51,7
06/09/2024 18:51,7
06/09/2024 19:51,7
06/09/2024 20:51,9
06/09/2024 21:51,10
06/09/2024 22:51,21
06/09/2024 23:51,23
07/09/2024 00:51,7
07/09/2024 01:51,9
07/09/2024 02:51,14
07/09/2024 03:51,7
07/09/2024 04:51,14
07/09/2024 05:51,21
07/09/2024 06:51,19
07/09/2024 07:51,16
07/09/2024 08:51,14
07/09/2024 09:51,16
07/09/2024 10:51,17
07/09/2024 11:51,12
07/09/2024 12:51,16
07/09/2024 13:51,14
07/09/2024 14:51,9
07/09/2024 15:51,14
07/09/2024 16:51,23
07/09/2024 17:51,21
07/09/2024 18:51,19
07/09/2024 19:51,17
07/09/2024 20:51,16
07/09/2024 21:51,21
07/09/2024 22:51,9
07/09/2024 23:51,21
08/09/2024 00:51,26
08/09/2024 01:51,9
08/09/2024 02:51,19
08/09/2024 03:51,10
08/09/2024 04:51,17
08/09/2024 05:51,9
08/09/2024 06:51,14
08/09/2024 07:51,12
08/09/2024 08:51,9
08/09/2024 09:51,19
08/09/2024 10:51,19
08/09/2024 11:51,16
08/09/2024 12:51,28
08/09/2024 13:51,12
08/09/2024 14:51,38
08/09/2024 15:51,10
08/09/2024 16:51,21
08/09/2024 17:51,12
08/09/2024 18:51,16
08/09/2024 19:51,23
08/09/2024 20:51,14
08/09/2024 21:51,23
08/09/2024 22:51,16
08/09/2024 23:51,16
09/09/2024 00:51,17
09/09/2024 01:51,21
09/09/2024 02:51,17
09/09/2024 03:51,17
09/09/2024 04:51,10
09/09/2024 05:51,16
09/09/2024 06:51,10
09/09/2024 07:51,10
09/09/2024 08:51,14
09/09/2024 09:51,12
09/09/2024 10:51,17
09/09/2024 11:51,19
09/09/2024 12:51,19
09/09/2024 13:51,14
09/09/2024 14:51,17
09/09/2024 15:51,26
09/09/2024 16:51,16
09/09/2024 17:51,16
09/09/2024 18:51,16
09/09/2024 19:51,28
09/09/2024 20:51,17
09/09/2024 21:51,17
09/09/2024 22:51,7
09/09/2024 23:51,7
10/09/2024 00:51,12
10/09/2024 01:51,9
10/09/2024 02:51,9
10/09/2024 03:51,12
10/09/2024 04:51,10
10/09/2024 05:51,16
10/09/2024 06:51,7
10/09/2024 07:51,7
10/09/2024 08:51,12
10/09/2024 09:51,17
10/09/2024 10:51,16
10/09/2024 11:51,7
10/09/2024 12:51,7
10/09/2024 13:51,14
10/09/2024 14:51,10
10/09/2024 15:51,23
10/09/2024 16:51,9
10/09/2024 17:51,9
10/09/2024 18:51,21
10/09/2024 19:51,12
10/09/2024 20:51,14
10/09/2024 21:51,14
10/09/2024 22:51,23
10/09/2024 23:51,21
11/09/2024 00:51,23
11/09/2024 01:51,9
11/09/2024 01:51,9
11/09/2024 01:51,9
11/09/2024 02:51,14
11/09/2024 02:51,14
11/09/2024 02:51,14
11/09/2024 03:51,26
11/09/2024 03:51,26
11/09/2024 03:51,26
11/09/2024 04:51,42
11/09/2024 04:51,42
11/09/2024 04:51,42
11/09/2024 05:51,28
11/09/2024 05:51,28
11/09/2024 05:51,28
11/09/2024 06:51,17
11/09/2024 06:51,17
11/09/2024 06:51,17
11/09/2024 07:51,37
11/09/2024 07:51,37
11/09/2024 07:51,37
11/09/2024 08:51,24
11/09/2024 08:51,24
11/09/2024 08:51,24
11/09/2024 09:51,24
11/09/2024 09:51,24
11/09/2024 09:51,24
11/09/2024 10:51,38
11/09/2024 10:51,38
11/09/2024 10:51,38
11/09/2024 11:51,90
11/09/2024 11:51,90
11/09/2024 11:51,90
11/09/2024 12:51,67
11/09/2024 12:51,67
11/09/2024 12:51,67
11/09/2024 13:51,63
11/09/2024 13:51,63
11/09/2024 13:51,63
11/09/2024 14:51,81
11/09/2024 14:51,81
11/09/2024 14:51,81
11/09/2024 15:51,63
11/09/2024 15:51,63
11/09/2024 15:51,63
11/09/2024 16:51,42
11/09/2024 16:51,42
11/09/2024 16:51,42
11/09/2024 17:51,24
11/09/2024 17:51,24
11/09/2024 17:51,24
11/09/2024 18:51,9
11/09/2024 18:51,9
11/09/2024 18:51,9
11/09/2024 19:51,7
11/09/2024 19:51,7
11/09/2024 19:51,7
11/09/2024 20:51,7
11/09/2024 20:51,7
11/09/2024 20:51,7
11/09/2024 21:51,17
11/09/2024 21:51,17
11/09/2024 21:51,17
11/09/2024 22:51,49
11/09/2024 22:51,49
11/09/2024 22:51,49
11/09/2024 23:51,45
11/09/2024 23:51,45
11/09/2024 23:51,45
12/09/2024 00:51,47
12/09/2024 00:51,47
12/09/2024 00:51,47
12/09/2024 01:51,44
12/09/2024 01:51,44
12/09/2024 01:51,44
12/09/2024 02:51,26
12/09/2024 02:51,26
12/09/2024 02:51,26
12/09/2024 03:51,35
12/09/2024 03:51,35
12/09/2024 03:51,35
12/09/2024 04:51,33
12/09/2024 04:51,33
12/09/2024 04:51,33
12/09/2024 05:51,42
12/09/2024 05:51,42
12/09/2024 05:51,42
12/09/2024 06:51,30
12/09/2024 06:51,30
12/09/2024 06:51,30
12/09/2024 07:51,33
12/09/2024 07:51,33
12/09/2024 07:51,33
12/09/2024 08:51,58
12/09/2024 08:51,58
12/09/2024 08:51,58
12/09/2024 09:51,67
12/09/2024 09:51,67
12/09/2024 09:51,67
12/09/2024 10:51,58
12/09/2024 10:51,58
12/09/2024 10:51,58
12/09/2024 11:51,38
12/09/2024 11:51,38
12/09/2024 11:51,38
12/09/2024 12:51,63
12/09/2024 12:51,63
12/09/2024 12:51,63
12/09/2024 13:51,54
12/09/2024 13:51,54
12/09/2024 13:51,54
12/09/2024 14:51,67
12/09/2024 14:51,67
12/09/2024 14:51,67
12/09/2024 15:51,68
12/09/2024 15:51,68
12/09/2024 15:51,68
12/09/2024 16:51,63
